sadness,fear,neutral,surprise,joy,disgust,anger
0.9826701283454895,0.009119324386119843,0.0033544714096933603,0.001503419247455895,0.0013763211900368333,0.001104321563616395,0.0008720362093299627
0.021402796730399132,0.9235068559646606,0.02943922020494938,0.005944388452917337,0.007796772755682468,0.001879242598079145,0.010030844248831272
0.004754115827381611,0.005091536324471235,0.006532556843012571,0.0007184030837379396,0.9795860648155212,0.0015884359600022435,0.0017289466923102736
0.026693498715758324,0.9429826736450195,0.01273075770586729,0.0035653640516102314,0.0012529650703072548,0.010279149748384953,0.0024954783730208874
0.5937821269035339,0.3364514708518982,0.005611579865217209,0.002185279503464699,0.026930468156933784,0.002944167470559478,0.032094940543174744
0.2279181182384491,0.7592604160308838,0.003051017876714468,0.0028288988396525383,0.003834351897239685,0.0007989787845872343,0.002308215945959091
0.0027827126905322075,0.987641453742981,0.0002638848964124918,0.0006536105647683144,0.002737463219091296,0.0001733757962938398,0.0057475510984659195
0.8706852793693542,0.04627833887934685,0.005379064008593559,0.006214162800461054,0.06788237392902374,0.0008738299948163331,0.0026869438588619232
0.9325413107872009,0.0035890797153115273,0.0066450308077037334,0.002427011029794812,0.0015809545293450356,0.0029748897068202496,0.050241705030202866
0.03921207785606384,0.9463905692100525,0.0011923079146072268,0.0022966647520661354,0.0036704347003251314,0.000352570932591334,0.006885445676743984
0.001606326550245285,0.9900227189064026,0.0008067616727203131,0.0022931150160729885,0.0012979498133063316,0.00026117372908629477,0.0037118131294846535
0.7892390489578247,0.19094343483448029,0.009639131836593151,0.002522434340789914,0.0022978195920586586,0.003551084315404296,0.0018070995574817061
0.09627365320920944,0.8883486390113831,0.004417574964463711,0.0026983690913766623,0.0013593066250905395,0.001744387554936111,0.005158010870218277
0.04459331929683685,0.9298505783081055,0.006766861770302057,0.006532306782901287,0.002352865180000663,0.0012771254405379295,0.008626909926533699
0.004627096466720104,0.005587250459939241,0.004657587502151728,0.0019459692994132638,0.0006846170290373266,0.002694046124815941,0.9798035621643066
0.003641788847744465,0.983030378818512,0.004818459041416645,0.0016789460787549615,0.0011223844485357404,0.0014246557839214802,0.004283340182155371
0.023076863959431648,0.007659121882170439,0.1032363772392273,0.0268729105591774,0.001996835693717003,0.08859829604625702,0.7485595941543579
0.953869104385376,0.008665752597153187,0.021364500746130943,0.001403117785230279,0.0021320271771401167,0.009167981334030628,0.0033975294791162014
0.021850446239113808,0.009651278145611286,0.0012506134808063507,0.0016287448816001415,0.0010846303775906563,0.0014007235877215862,0.9631335139274597
0.26747941970825195,0.512771725654602,0.0196554996073246,0.010959863662719727,0.005037989467382431,0.17816615104675293,0.005929333623498678
